Confidence Value,Gene Name Interactor A,Gene Name Interactor B
0.83,ACAA2,TRMT61B
0.83,ACAA2,PREPL
0.82,ACAA2,LARS2
0.9,ACACA,BRCA1
0.95,ACACA,ACACA
0.79,ACAD9,ATP5F1D
0.88,ACAD9,ECSIT
0.79,ACAD9,ATP5PO
0.79,ACAD9,ATP5PD
0.79,ACAD9,ATP5MG
0.79,ACAD9,ATP5F1C
0.79,ACAD9,ATP5PB
0.79,ACAD9,ATP5F1B
0.79,ACAD9,VDAC1
0.82,ACAD9,NDUFA2
0.82,ACAD9,DLAT
0.82,ACAD9,MRPL1
0.82,ACAD9,ERAL1
0.86,ACAD9,NDUFS2
0.86,ACAD9,NDUFAF3
0.87,ACAD9,DBT
0.82,ACAD9,TMEM126B
0.87,ACAD9,NDUFAF1
0.83,ACAD9,PDSS1
0.82,ACAD9,EVPL
0.82,ACAD9,TUBB1
0.86,ACAD9,GLS
0.87,ACAD9,COA1
0.82,ACAD9,PDSS2
0.82,ACAD9,IVL
0.82,ACAD9,NDUFC2
0.87,ACAD9,PDK3
0.83,ACAD9,PDK1
0.87,ACAD9,PDK2
0.82,ACAD9,SERPINB5
0.82,ACAD9,SERPINB13
0.82,ACAD9,PPL
0.86,ACAD9,SDHA
0.82,ACAD9,SERPINB3
0.82,ACAD9,SERPINB4
0.87,ACAD9,NFS1
0.82,ACAD9,ZG16B
0.87,ACAD9,PNPT1
0.82,ACAD9,BPIFA2
0.82,ACAD9,POF1B
0.83,ACADL,SYT2
0.82,ACADS,DPEP1
0.87,ACADVL,ACADVL
0.82,ACADVL,DHRS4
0.82,ACADVL,APC
0.85,ACAN,FBLN2
0.82,ACAP1,GRB2
0.79,ACAT1,ACAT1
0.84,ACAT1,PDHA1
0.88,ACAT1,MDH2
0.76,ACAT2,ACAT2
0.82,ACAT2,ACAT1
0.85,ACBD3,GOLGB1
0.82,ACBD3,EFTUD2
0.9,ACBD6,NMT2
0.88,ACBD6,NMT1
0.82,ACBD7,SUGP1
0.82,ACBD7,TBC1D24
0.82,ACBD7,ACOX1
0.82,ACBD7,GNAZ
0.82,ACBD7,HPCAL1
0.82,ACBD7,SRC
0.82,ACBD7,PAG1
0.82,ACBD7,OGDHL
0.9,ACD,POT1
0.88,ACD,TERF1
0.86,ACD,TERF2
0.85,ACD,TERF2IP
0.82,ACD,POF1B
0.84,ACE,AGT
0.8,ACE2,NTS
0.82,ACE2,AGT
0.9,ACE2,ACE2
0.85,ACE2,SLC9A3R1
0.79,ACE2,KNG1
0.88,ACE2,PDZK1
0.88,ACE2,SLC6A19
0.84,ACE2,SHANK1
0.86,ACE2,AP2M1
0.84,ACE2,SNX27
0.88,ACIN1,SRPK2
0.82,ACIN1,ZC3H18
0.82,ACIN1,SRRM2
0.85,ACKR2,CCL5
0.85,ACKR2,CCL13
0.85,ACKR2,CCL7
0.83,ACKR3,ATP5PO
0.83,ACKR3,ATP5F1B
0.83,ACKR3,ATP5F1A
0.84,ACLY,ACLY
0.88,ACLY,GSK3B
0.78,ACLY,KLHL25
0.82,ACO2,GPI
0.83,ACOT11,THUMPD3
0.82,ACOT12,INPPL1
0.82,ACOT12,ZMYM6
0.87,ACOT12,ZBTB8A
0.82,ACOT12,ACOT11
0.93,ACOT13,ACOT13
0.82,ACOT2,ACOT1
0.82,ACOT2,SPATA33
0.82,ACOT6,ATP6V1G2
0.82,ACOT8,IGHA1
0.83,ACOT8,PML
0.83,ACOT8,KLHL23
0.87,ACOX1,CAT
0.82,ACOX2,STRN3
0.82,ACOX3,HERC3
0.82,ACOX3,CENPH
0.82,ACOX3,YTHDF1
0.77,ACP1,EPHA2
0.84,ACP1,ZAP70
0.79,ACP1,EPHB1
0.88,ACP1,ACP1
0.82,ACP1,ACTBL2
0.82,ACP1,ACTB
0.82,ACP1,POTEE
0.83,ACP5,CIZ1
0.83,ACP5,KLHL15
0.76,ACP6,ILK
0.82,ACP7,MYCBP2
0.9,ACPP,ACPP
0.82,ACPP,ERBB2
0.82,ACR,ZP2
0.82,ACR,ZP3
0.82,ACSBG2,CMSS1
0.82,ACSBG2,ZZEF1
0.93,ACSL3,ACSL4
0.84,ACSL6,ACSL6
0.82,ACSM5,CPS1
0.82,ACSM5,CLUH
0.82,ACSM5,LARS2
0.82,ACSM5,FDXR
0.82,ACSM5,PCCA
0.82,ACSM5,POLG
0.82,ACSM5,PPOX
0.82,ACSM5,NARS2
0.82,ACSM5,PDPR
0.82,ACSM5,ACSF2
0.82,ACSM5,IARS2
0.82,ACSM5,MCCC1
0.82,ACTA1,ACTA1
0.83,ACTA1,SPTAN1
0.78,ACTA1,SRC
0.79,ACTA1,ACTBL2
0.91,ACTB,ACTC1
0.81,ACTB,HNRNPU
0.97,ACTB,ACTB
0.89,ACTB,CFL1
0.88,ACTB,CFL2
0.78,ACTB,PCYT1B
0.84,ACTB,ATP5F1A
0.77,ACTB,HNRNPD
0.77,ACTB,HSPA8
0.77,ACTB,MYL12A
0.85,ACTB,PHB
0.77,ACTB,HNRNPA1
0.77,ACTB,VDAC1
0.77,ACTB,VDAC2
0.77,ACTB,VDAC3
0.83,ACTB,MDM2
0.82,ACTB,RPA2
0.82,ACTB,EP300
0.88,ACTB,BAIAP2
0.83,ACTB,CORO1C
0.82,ACTB,ICAM1
0.83,ACTB,CAV1
0.82,ACTB,FHOD1
0.96,ACTB,CAP2
0.86,ACTB,NUDCD2
0.79,ACTB,WDR1
0.79,ACTB,CAPZB
0.88,ACTB,ACTBL2
0.82,ACTB,SCIN
0.87,ACTBL2,CAP1
0.82,ACTBL2,DCTN3
0.88,ACTBL2,ACTA2
0.82,ACTBL2,PDCL3
0.82,ACTBL2,CCT7
0.82,ACTBL2,CCT4
0.82,ACTBL2,CCT2
0.82,ACTBL2,CCT6B
0.82,ACTBL2,CCT8
0.82,ACTBL2,SRCAP
0.82,ACTBL2,BCL7B
0.82,ACTBL2,LRRC20
0.82,ACTBL2,ACTR10
0.82,ACTBL2,CCT6A
0.88,ACTBL2,GSN
0.82,ACTBL2,MAP3K4
0.82,ACTBL2,POTEF
0.82,ACTBL2,DNLZ
0.93,ACTC1,MYH10
0.86,ACTC1,TPM1
0.86,ACTC1,DBN1
0.79,ACTC1,GSN
0.82,ACTC1,ANLN
0.82,ACTC1,SMARCD1
0.79,ACTC1,CAP1
0.82,ACTC1,ARID1A
0.82,ACTC1,SMARCB1
0.88,ACTC1,CAP2
0.79,ACTC1,CFL2
0.82,ACTC1,SNRNP70
0.88,ACTG1,ACTG1
0.81,ACTG1,ACTB
0.8,ACTG1,CFL1
0.95,ACTG1,CFL2
0.83,ACTG1,DISC1
0.82,ACTG1,VCL
0.78,ACTG1,MLH1
0.81,ACTG1,ACTA1
0.79,ACTG1,ACTBL2
0.9,ACTL6A,MYC
0.89,ACTL6A,SMARCA2
0.89,ACTL6A,TRRAP
0.9,ACTL6A,SMARCA4
0.88,ACTL6A,KAT5
0.78,ACTL6A,BRD8
0.78,ACTL6A,DMAP1
0.78,ACTL6A,MORF4L1
0.78,ACTL6A,MORF4L2
0.8,ACTL6A,PBRM1
0.88,ACTL6A,SMARCC1
0.88,ACTL6A,SMARCC2
0.86,ACTL6A,SMARCD1
0.86,ACTL6A,SMARCD2
0.82,ACTL6A,YEATS4
0.82,ACTL6A,EPC1
0.82,ACTL6A,INO80C
0.87,ACTL6A,ACTR5
0.82,ACTL6A,TFPT
0.85,ACTL6A,INO80
0.82,ACTL6A,NFRKB
0.82,ACTL6A,ARID1B
0.82,ACTL6A,ARID1A
0.83,ACTL6A,CCT2
0.83,ACTL6A,CCT6B
0.82,ACTL6A,CCT6A
0.83,ACTL6A,RPRD1B
0.82,ACTL6A,CCT3
0.83,ACTL6A,TCP1
0.82,ACTL6A,HDGFL2
0.82,ACTL6A,HINT1
0.82,ACTL6A,CYB5R3
0.82,ACTL6A,FEN1
0.87,ACTL6B,SMARCA2
0.77,ACTL6B,CTBP1
0.96,ACTN1,ACTN1
0.76,ACTN1,CAMK2A
0.86,ACTN1,ADORA2A
0.76,ACTN1,SRC
0.84,ACTN1,EZR
0.88,ACTN1,ACTN2
0.88,ACTN1,ACTN4
0.96,ACTN2,ACTN2
0.77,ACTN2,DYSF
0.9,ACTN3,ACTN2
0.78,ACTN3,ACTN3
0.86,ACTN4,COL17A1
0.77,ACTN4,CAMK2G
0.88,ACTN4,MAGI1
0.76,ACTN4,ACTN3
0.86,ACTN4,ADORA2A
0.76,ACTN4,ACTC1
0.88,ACTN4,TJP1
0.85,ACTN4,GSN
0.84,ACTN4,CTNNB1
0.85,ACTN4,ESR1
0.86,ACTN4,IQGAP1
0.89,ACTR10,DCTN4
0.87,ACTR1A,SPTBN2
0.82,ACTR1A,PSMD1
0.96,ACTR1A,DCTN2
0.88,ACTR1A,ACTR10
0.82,ACTR1A,DCTN5
0.82,ACTR1A,CCT2
0.82,ACTR1A,TCP1
0.82,ACTR1A,CCT3
0.82,ACTR1A,CCT6A
0.82,ACTR1A,PDCL3
0.82,ACTR1A,CCT4
0.87,ACTR1B,ACTR1A
0.87,ACTR1B,DCTN3
0.96,ACTR1B,DCTN2
0.87,ACTR1B,ACTR10
0.83,ACTR1B,SCIN
0.87,ACTR1B,CCT2
0.83,ACTR1B,CCT7
0.83,ACTR1B,DCTN6
0.87,ACTR1B,DCTN5
0.83,ACTR1B,SCCPDH
0.83,ACTR1B,PDCL3
0.83,ACTR1B,CCT3
0.83,ACTR1B,GSN
0.82,ACTR1B,CAPZB
0.98,ACTR2,ARPC5
0.99,ACTR2,ACTR3
0.98,ACTR2,ARPC3
0.86,ACTR2,KIF1BP
0.79,ACTR2,RPA1
0.82,ACTR2,HSPBP1
0.87,ACTR2,CORO1C
0.87,ACTR2,ARPC5L
0.86,ACTR2,CCT7
0.93,ACTR2,CCT2
0.86,ACTR2,CCT4
0.93,ACTR2,CCT8
0.83,ACTR2,CHURC1
0.93,ACTR2,TCP1
0.86,ACTR2,CAPZA2
0.93,ACTR2,CCT3
0.93,ACTR2,CCT6A
0.86,ACTR2,PDCL3
0.79,ACTR2,ACTR2
0.98,ACTR3,ARPC5
0.99,ACTR3,ARPC2
0.97,ACTR3,CTTN
0.97,ACTR3,ARPC1B
0.89,ACTR3,ARPC5L
0.87,ACTR3,CCT2
0.86,ACTR3,CCT6A
0.82,ACTR3,CST4
0.82,ACTR3,CCT3
0.9,ACTR3B,ARPC2
0.89,ACTR3B,ARPC1A
0.96,ACTR3B,ACTR2
0.9,ACTR3B,ARPC4
0.9,ACTR3B,ARPC1B
0.76,ACTR3B,CDK4
0.89,ACTR3B,ARPC5L
0.96,ACTR3B,ARPC3
0.9,ACTR3B,ARPC5
0.76,ACTR3B,TWF2
0.76,ACTR3B,CCAR2
0.82,ACTR3B,TCP1
0.89,ACTR3B,ACTR3
0.82,ACTR3B,CCT4
0.82,ACTR3B,CCT2
0.82,ACTR3B,CCT7
0.82,ACTR3B,CCT3
0.82,ACTR3B,CCT6A
0.82,ACTR3B,OSBPL3
0.83,ACTR3B,CHURC1
0.79,ACTR3B,ACTR3B
0.77,ACTR5,LOC100290337
0.83,ACTR5,TFPT
0.87,ACTR5,NFRKB
0.83,ACTR5,INO80C
0.86,ACTR5,HIST4H4
0.87,ACTR5,HIST1H2AE
0.83,ACTR6,SRCAP
0.83,ACTR6,DMAP1
0.94,ACTR8,RUVBL1
0.82,ACTR8,ACTL6A
0.87,ACTR8,ACTR5
0.87,ACTR8,INO80E
0.83,ACTR8,MCRS1
0.87,ACTR8,INO80
0.83,ACTR8,INO80D
0.83,ACTR8,INO80C
0.87,ACTR8,NFRKB
0.83,ACTR8,TFPT
0.83,ACTR8,UCHL5
0.82,ACTR8,AMY1A
0.83,ACTR8,DCAF10
0.88,ACVR1,SMAD1
0.88,ACVR1,ACVR2A
0.88,ACVR1,BMPR1A
0.83,ACVR1,TGFBRAP1
0.83,ACVR1,ACVRL1
0.83,ACVR1,GRAMD1A
0.83,ACVR1,RNF149
0.83,ACVR1,ARV1
0.82,ACVR1,CD320
0.85,ACVR1B,TDGF1
0.83,ACVR1B,SNX1
0.88,ACVR1B,INHBA
0.84,ACVR1B,INHBB
0.87,ACVR1B,ACVR2A
0.83,ACVR1B,ACVR1
0.87,ACVR1B,FKBP1A
0.88,ACVR2B,ACVR1B
0.78,ACVR2B,MSTN
0.89,ACVR2B,INHBA
0.83,ACVR2B,INHBB
0.88,ACVRL1,TGFB1
0.82,ACVRL1,TGFBR1
0.91,ACVRL1,TGFBR2
0.82,ACVRL1,PDXDC2P-NPIPB14P
0.76,ACY1,ACY1
0.87,ACY1,NUDT1
0.83,ACY1,TRIM33
0.87,ACYP2,ACYP2
0.83,ADA,POTEF
0.88,ADAM10,GRB2
0.88,ADAM10,LCK
0.83,ADAM10,DLG1
0.83,ADAM10,CD81
0.89,ADAM12,PIK3R1
0.88,ADAM12,ACTN2
0.82,ADAM12,GRB2
0.76,ADAM12,PACSIN3
0.77,ADAM12,FSTL3
0.88,ADAM12,IGFBP3
0.96,ADAM15,SRC
0.9,ADAM15,GRB2
0.96,ADAM15,SH3GL2
0.86,ADAM15,LYN
0.89,ADAM15,SNX33
0.88,ADAM15,NPHP1
0.96,ADAM15,SH3PXD2A
0.85,ADAM15,NCK1
0.89,ADAM15,FYN
0.9,ADAM15,HCK
0.97,ADAM15,LCK
0.87,ADAM17,TIMP3
0.89,ADAM17,DLG1
0.89,ADAM17,MAD2L1
0.78,ADAM17,TGFA
0.81,ADAM17,PTPN3
0.79,ADAM17,MAPK1
0.82,ADAM17,SDK2
0.82,ADAM17,LRRC3
0.77,ADAM19,ABI2
0.89,ADAM19,SH3PXD2A
0.82,ADAM2,ADAMTS2
0.82,ADAM2,C6orf120
0.82,ADAM2,ASPHD2
0.82,ADAM2,LRRC3
0.82,ADAM21,HLA-B
0.82,ADAM21,ITGB5
0.82,ADAM21,PLXNA2
0.82,ADAM21,LCLAT1
0.82,ADAM21,DHFR2
0.82,ADAM21,MANF
0.82,ADAM21,VEGFB
0.82,ADAM21,CCPG1
0.82,ADAM21,CHSY3
0.82,ADAM21,ACTA2
0.82,ADAM21,CANX
0.82,ADAM21,LRFN3
0.82,ADAM21,LRP10
0.82,ADAM21,EGFL7
0.82,ADAM21,PCSK1N
0.82,ADAM21,LRRC3
0.88,ADAM22,YWHAZ
0.86,ADAM22,LGI1
0.9,ADAM22,YWHAB
0.82,ADAM30,CANX
0.82,ADAM30,SEC11C
0.82,ADAM30,ADAMTS2
0.82,ADAM30,SPCS2
0.82,ADAM30,METTL7B
0.82,ADAM30,USP30
0.82,ADAM30,FOXF2
0.82,ADAM32,ITGA5
0.82,ADAM32,JAG2
0.82,ADAM32,BCL2L11
0.82,ADAM32,GAS6
0.82,ADAM32,PLXNA2
0.82,ADAM32,MAN1A2
0.82,ADAM32,NOTCH3
0.82,ADAM32,INTS4
0.82,ADAM32,ADAM9
0.82,ADAM32,STAT5B
0.82,ADAM32,POMGNT1
0.82,ADAM32,ADAMTS1
0.82,ADAM32,KIAA0391
0.82,ADAM32,ASPHD2
0.82,ADAM32,LCLAT1
0.82,ADAM33,DHFR2
0.82,ADAM33,LRP12
0.82,ADAM33,TMEM39B
0.82,ADAM33,TTC17
0.82,ADAM33,NETO2
0.82,ADAM33,HMOX1
0.82,ADAM33,CISD3
0.82,ADAM33,ASB7
0.82,ADAM33,NOTCH3
0.82,ADAM33,LRP6
0.82,ADAM33,LRP5
0.82,ADAM33,ITGB5
0.82,ADAM33,KCNJ8
0.82,ADAM33,TMBIM6
0.82,ADAM33,SOAT1
0.82,ADAM33,DGCR2
0.82,ADAM33,ADAM15
0.82,ADAM33,SEMA4F
0.82,ADAM33,SLC27A3
0.82,ADAM33,ZDHHC6
0.82,ADAM33,TOR3A
0.82,ADAM33,LSR
0.82,ADAM33,EGFL7
0.82,ADAM33,FBXO2
0.82,ADAM33,GALNT12
0.82,ADAM33,TMEM67
0.82,ADAM33,MANEAL
0.79,ADAMTS1,VEGFA
0.83,ADAMTS12,PPM1A
0.83,ADAMTS12,USF1
0.83,ADAMTS12,USF2
0.83,ADAMTS12,UBR1
0.83,ADAMTS12,SNRK
0.83,ADAMTS12,FKBP9
0.89,ADAMTS13,VWF
0.82,ADAMTS18,HSPA5
0.82,ADAMTS18,ALB
0.82,ADAMTS18,B3GLCT
0.82,ADAMTS4,DICER1
0.82,ADAMTS4,TUBB3
0.82,ADAMTS4,RAD51B
0.82,ADAMTS4,LOXL2
0.82,ADAMTS4,MANBA
0.82,ADAMTS4,ITPA
0.82,ADAMTS4,MKS1
0.82,ADAMTS4,TRAF2
0.82,ADAMTS4,TUBA1A
0.82,ADAMTS4,FRAS1
0.82,ADAMTS4,TUBB1
0.82,ADAMTS4,ADAMTS2
0.82,ADAMTS4,KIAA0232
0.82,ADAMTS4,BIRC6
0.82,ADAMTS4,ATP2B2
0.82,ADAMTS4,BIRC2
0.82,ADAMTS4,XIAP
0.82,ADAMTS4,DPH6
0.82,ADAMTSL1,RSPRY1
0.82,ADAMTSL1,GRN
0.82,ADAMTSL1,FHL2
0.82,ADAMTSL1,FBN2
0.82,ADAMTSL1,B3GLCT
0.82,ADAMTSL1,ACOX1
0.82,ADAMTSL1,WDCP
0.87,ADAMTSL4,HOXA1
0.89,ADAP1,PRKCZ
0.88,ADAP1,PRKCI
0.95,ADAP1,CSNK1A1
0.78,ADAP1,PRKD1
0.79,ADAP1,ANP32A
0.9,ADAP1,NCL
0.78,ADAP1,PIK3CA
0.83,ADAP2,KCTD10
0.86,ADAR,XPO1
0.88,ADAR,ADAR
0.78,ADAR,UPF1
0.83,ADARB1,STRBP
0.82,ADARB1,PRKRA
0.82,ADARB1,NKRF
0.82,ADARB1,NVL
0.83,ADAT2,ADAT3
0.79,ADCK2,GPI
0.78,ADCK2,CLPB
0.79,ADCY5,RGS2
0.83,ADCY6,CHRNA7
0.77,ADCY8,CALM1
0.89,ADCYAP1,ADCYAP1R1
0.83,ADCYAP1,CLNS1A
0.82,ADCYAP1,CETN3
0.83,ADCYAP1,AMD1
0.83,ADCYAP1,SAV1
0.83,ADCYAP1,PCSK1N
0.83,ADCYAP1,GCC2
0.83,ADCYAP1,TIMM10B
0.82,ADCYAP1,COPRS
0.82,ADCYAP1,PXDN
0.83,ADCYAP1,STK3
0.83,ADCYAP1,STK4
0.83,ADCYAP1,NUCB1
0.82,ADCYAP1,PPP4R3A
0.82,ADCYAP1,GGPS1
0.88,ADD1,SPTAN1
0.82,ADD1,ADD3
0.84,ADD2,ADD1
0.82,ADD2,ROCK1
0.82,ADD2,ROCK2
0.82,ADD2,ADD3
0.82,ADD2,NUDT12
0.86,ADGRA3,DLG1
0.88,ADGRB1,MAGI1
0.83,ADGRB1,ADGRB1
0.76,ADGRE2,LOC100293069
0.83,ADGRE5,CD55
0.82,ADGRE5,ADARB1
0.82,ADGRE5,FDFT1
0.82,ADGRE5,SLC29A1
0.82,ADGRE5,NNT
0.83,ADGRE5,TSPAN15
0.82,ADGRE5,POTEF
0.82,ADGRE5,MTCH2
0.82,ADGRE5,NDUFB8
0.82,ADGRE5,ND5
0.82,ADGRE5,B4GALT7
0.82,ADGRE5,YIPF3
0.82,ADGRE5,VDAC3
0.82,ADGRE5,TMEM223
0.82,ADGRE5,BET1
0.82,ADGRE5,MFSD8
0.82,ADGRE5,GPRC5B
0.82,ADGRE5,SYNGR2
